#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Backfield,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
525,"2025 UAB O vs UConn, PFF Play 078",78,2,2,10,'+19,2,,RA,5,11,6.0,P,L,11,DUO Y OFF,SNUG,Y MISSILE,,X,X,X,OFF,,COMPLETE,GF,JET SWEEP,STR,DB,,ONE INTERIOR,4 DOWN,STUNT,BLITZ,COVER 4,,ALBI 17,ALBI 15,03,17,00; 01; 06,0,11,P,11,L,,6.0,0,0.0,,,,,0,0,0,2,0,ALBI 17,ALBI 15,03,00; 01; 06,17,ONE INTERIOR,2x2,0,P,ALBI 17,1,COVER 4
526,"2025 UAB O vs UConn, PFF Play 079",79,2,3,4,'+13,3,,RA,5,12,0.0,P,L,11,TRIPS,,,,,,,ON,,BATTED PASS,GN,JET SWEEP,STR,DB,,ODD,4 DOWN,,,COVER 4,,,ALBI 15,03,17,00; 01; 06,0,11,P,12,L,6.0,,0,0.0,,,,,0,0,0,2,0,,ALBI 15,03,00; 01; 06,17,ODD,3x1,0,P,,0,COVER 4
527,"2025 UAB O vs UConn, PFF Play 080",80,2,4,4,'+13,4,,RA,5,13,0.0,P,L,11,TRIPS - OPEN,Y AT 3,,,X,,X,OPEN,,INCOMPLETE,GF,JET SWEEP,STR,DB,,ONE INTERIOR,4 DOWN,STUNT,BLITZ,COVER 2,,ALBI 01,ALBI 15,03,17,00; 01; 06,0,11,P,13,L,,,0,0.0,,,,,0,0,0,2,0,,ALBI 15,03,00; 01; 06,17,ONE INTERIOR,3x1,0,P,ALBI 01,1,COVER 2
528,"2025 UAB O vs UConn, PFF Play 082",82,3,1,10,'-25,P,,,6,1,3.0,R,R,11,DUO Y OFF,SNUG,Z IN,,,,X,OFF,,,PSTL,CTR OY,STR,GAP,GAP,BENCH,4 DOWN,STUNT,,COVER 3,,ALBI 04,ALBI 15,04,85,00; 01; 06,0,11,R,1,R,,3.0,0,,,COUNTER,,,0,0,0,0,0,ALBI 04,ALBI 15,04,00; 01; 06,85,WIDE UNDER,2x2,1,P,,0,COVER 3
529,"2025 UAB O vs UConn, PFF Play 083",83,3,2,7,'-28,2,,,6,2,0.0,P,R,11,DUO Y OFF,SNUG,,,,,X,OFF,,INCOMPLETE,GN,JET SWEEP,WK,DB,,WIDE OVER,4 DOWN,STUNT,,COVER 3,,ALBI 06,ALBI 15,04,85,00; 01; 06,1,11,P,2,R,3.0,,0,0.0,,,,,0,0,1,0,0,,ALBI 15,04,00; 01; 06,85,WIDE OVER,2x2,0,R,ALBI 06,0,COVER 3
530,"2025 UAB O vs UConn, PFF Play 084",84,3,3,7,'-28,3,,,6,3,5.0,P,R,11,TRIPS,,,,,,,ON,,COMPLETE,GN,JET SWEEP,WK,DB,,LOAD,4 DOWN,STUNT,,COVER 2,,ALBI 01,ALBI 15,04,85,00; 01; 06,0,11,P,3,R,,5.0,0,0.0,,,,,0,0,0,0,0,ALBI 01,ALBI 15,04,00; 01; 06,85,LOAD,1x3,0,P,ALBI 01,0,COVER 2
531,"2025 UAB O vs UConn, PFF Play 085",85,3,4,2,'-33,4,SY,,6,4,4.0,R,R,12,TREY Y OFF,SNUG,BUZZ,,X,X,X,OFF,CURLS,,,,,ZN,GAP,ODD,4 DOWN,,BLITZ,COVER 0,,ALBI 15,ALBI 15,04,17; 85,06; 18,0,12,R,4,R,5.0,4.0,0,,,SNEAK,,,0,0,0,0,0,ALBI 15,ALBI 15,04,06; 18,17; 85,ODD,3x1,0,P,,1,COVER 0
532,"2025 UAB O vs UConn, PFF Play 086",86,3,1,10,'-37,P,,,6,5,8.0,P,R,12,KING U OFF,,,,,,,SLOT,,COMPLETE,,Y INSERT,STR,PA,,BENCH,4 DOWN,STUNT,,COVER 3 CLOUD,,ALBI 17,ALBI 15,04,17; 85,01; 12,0,12,P,5,R,4.0,8.0,0,0.0,,MAN,,,0,0,0,0,0,ALBI 17,ALBI 15,04,01; 12,17; 85,WIDE UNDER,1x3,0,R,ALBI 17,0,COVER 3 CLOUD
533,"2025 UAB O vs UConn, PFF Play 087",87,3,2,2,'-45,2,SY,,6,6,1.0,R,L,11,DUO Y OFF,SNUG,Z MTR,,X,X,X,OFF,,,PSTL,INSIDE ZN RD,STR,ZN,GAP,ODD,4 DOWN,STUNT,,COVER 3,,ALBI 04,ALBI 15,04,17,00; 01; 06,0,11,R,6,L,8.0,1.0,0,,,MAN,,,0,0,0,0,0,ALBI 04,ALBI 15,04,00; 01; 06,17,ODD,2x2,1,P,,0,COVER 3
534,"2025 UAB O vs UConn, PFF Play 088",88,3,3,1,'-46,3,SY,,6,7,-1.0,R,L,13,TREY Y OFF,ENDOVER,Y MTR,,X,X,,OFF,CURLS,,GN,Q SPL ZN,WK,ZN,GAP,BENCH,4 DOWN,,,COVER 1,,ALBI 15,ALBI 15,03,17; 85; 88,18,0,13,R,7,L,1.0,-1.0,0,,,MAN,,,0,0,0,0,0,ALBI 15,ALBI 15,03,18,17; 85; 88,WIDE UNDER,2x2,0,R,,0,COVER 1
535,"2025 UAB O vs UConn, PFF Play 089",89,3,4,2,'-45,4,SY,,6,8,0.0,P,L,11,DUO Y OFF,SNUG,,,,,X,OFF,,INCOMPLETE,GN,JET SWEEP,WK,DB,,EVEN,4 DOWN,STUNT,BLITZ,COVER 1,,ALBI 01,ALBI 15,03,88,00; 01; 05,0,11,P,8,L,-1.0,,0,0.0,,,,,0,0,0,0,0,,ALBI 15,03,00; 01; 05,88,EVEN,2x2,0,R,ALBI 01,1,COVER 1
536,"2025 UAB O vs UConn, PFF Play 099",99,3,1,10,'-25,P,,,7,1,7.0,P,M,12,ACE YU OFF,,,,,,X,OFF,,COMPLETE,GN,Y INSERT,STR,QK,,EVEN,4 DOWN,,,COVER 4,,ALBI 88,ALBI 15,11,17; 88,00; 01,0,12,P,1,C,,7.0,0,0.0,,INSIDE ZONE,,,0,0,0,0,0,ALBI 88,ALBI 15,11,00; 01,17; 88,EVEN,2x2,1,P,ALBI 88,0,COVER 4
