number,name,position,filename,official_source_url,supabase_public_url
67,Wes Wiggins,OL,wes-wiggins.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Wes_Wiggins_scvCR.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/wes-wiggins.jpg
68,Adam Lepkowski,OL,adam-lepkowski.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/3/27/A7400860.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/adam-lepkowski.jpg
69,Kade Martin,OL,kade-martin.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2024/3/6/Martin_Kade.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/kade-martin.jpg
70,Amos Talalele,OL,amos-talalele.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/7/9/Talalele_cmr6l.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/amos-talalele.jpg
71,Kyrik Mason,OL,kyrik-mason.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/6/11/Mason_Kyrik.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/kyrik-mason.jpg
74,Barry Walker Jr,OL,barry-walker-jr.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/9/4/060A1188.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/barry-walker-jr.jpg
75,Calib Perez,OL,calib-perez.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/4/8/060A3041.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/calib-perez.jpg
77,Keyon Cox,OL,keyon-cox.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Keyon_Cox_PhJOc.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/keyon-cox.jpg
78,Nelson Ramirez,OL,nelson-ramirez.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2025/6/11/Ramirez_Nelson.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/nelson-ramirez.jpg
79,Samuel Riddy,OL,samuel-riddy.jpg,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/uabsports.com/images/2026/5/7/Samuel_eFNZ2.jpg,https://hzrosmevuejjlxigdxmg.supabase.co/storage/v1/object/public/Defensive%20Intelligence/Opponents/UAB/player-images/samuel-riddy.jpg
