#,Name,Comments 1,Quarter,Down,Distance,Field Position,P/10,SY/GL,Red Area,Drive #,Drive Play #,Gain,R/P,Hash,Personnel,Formation,Form Var,Motion,Starting Form,FIB,Endover,Form Adj Reduce,Y Location,Pass Concept,Pass Result,Backfield,Run Concept,Run Strength,Play Type,Proctection,Front,Front Type,Stunt,Pressure Type,Coverage,2M/4M,BC/REC,QB,RB,TE,WR,Tempo,pff_OFFPERSONNELBASIC,pff_RUNPASS,pff_DRIVEPLAY,pff_HASHDEF,pff_PREVIOUSGAINLOSS,pff_GAINLOSS,pff_SCREEN,pff_QUICKGAME,pff_RUNCONCEPT3,pff_RUNCONCEPTPRIMARY,pff_PENALTY,pff_TOUCHDOWN,pff_TRICKLOOK,pff_TRICKPLAY,pff_TEMPO,pff_2MINUTE,pff_GARBAGETIME,pff_BALLCARRIER,pff_QB,pff_RBS,pff_WRS,pff_TES,pff_FRONTTYPE,pff_OFFFORMATIONGROUP,pff_RUNPASSOPTION,pff_PREVIOUSRUNPASS,pff_PASSRECEIVERTARGET,pff_BLITZDOG,pff_PASSCOVERAGEBASIC
590,"2508 Mississippi State O vs Texas, PFF Play 201",201,4,3,1,'-22,3,SY,,15,3,0,R,L,11,TRIPS - OPEN,,Y MTR,,,,,,,,GN,,,ZN,,BEAR,,,,COVER 3,,MSST 01,MSST 01,06,08,00; 03; 11,0,11,R,3,L,5,0,0,,,OUTSIDE ZONE,,,0,0,0,0,0,MSST 01,MSST 01,06,00; 03; 11,08,BEAR,3x1,0,P,,1,COVER 3
591,"2508 Mississippi State O vs Texas, PFF Play 205",205,4,0,10,'-25,P,,,16,1,4,R,L,11,TRIPS - OPEN,,,,,,,,,,GN,,STR,ZN,,BENCH,4 DOWN,,,COVER 3,,MSST 06,MSST 02,06,08,00; 03; 11,0,11,R,1,L,0,4,0,,,INSIDE ZONE,,,0,0,0,2,0,MSST 06,MSST 02,06,00; 03; 11,08,WIDE UNDER,3x1,1,R,,0,COVER 3
592,"2508 Mississippi State O vs Texas, PFF Play 206",206,4,2,6,'-29,2,,,16,2,2,P,L,11,DUO Y OFF,,,,,,,OFF,,COMPLETE,GF,,,DB,,ODD,4 DOWN,,,COVER 2,,MSST 06,MSST 02,06,08,00; 03; 11,1,11,P,2,L,4,2,0,0,,,,,0,0,1,2,0,MSST 06,MSST 02,06,00; 03; 11,08,ODD,2x2,0,R,MSST 06,0,COVER 2
593,"2508 Mississippi State O vs Texas, PFF Play 207",207,4,3,4,'-31,3,,,16,3,8,P,R,11,DOUBLES,,,,,,,OPEN,,COMPLETE,GF,,,DB,,EVEN,4 DOWN,,,COVER 3,,MSST 00,MSST 02,06,08,00; 03; 11,0,11,P,3,R,2,8,0,0,,,,,0,0,0,2,0,MSST 00,MSST 02,06,00; 03; 11,08,EVEN,2x2,0,P,MSST 00,1,COVER 3
594,"2508 Mississippi State O vs Texas, PFF Play 208",208,4,1,10,'-39,1,,,16,4,15,P,L,11,DOUBLES,,,,,,,OPEN,,COMPLETE,GN,,,DB,,BENCH,4 DOWN,,,COVER 1,,MSST 03,MSST 02,06,08,00; 03; 11,1,11,P,4,L,8,15,0,0,,,,,0,0,1,2,0,MSST 03,MSST 02,06,00; 03; 11,08,WIDE UNDER,2x2,0,P,MSST 03,0,COVER 1
595,"2508 Mississippi State O vs Texas, PFF Play 209",209,4,1,10,'+46,1,,,16,5,0,P,L,11,DOUBLES,,,,,,,OPEN,,THROWN AWAY,GN,,,DB,,BENCH,4 DOWN,,,COVER 1,,,MSST 02,06,08,00; 03; 11,1,11,P,5,L,15,,0,0,,,,,0,0,1,2,0,,MSST 02,06,00; 03; 11,08,WIDE UNDER,2x2,0,P,,1,COVER 1
596,"2508 Mississippi State O vs Texas, PFF Play 210",210,4,2,10,'+46,2,,,16,6,4,R,L,11,TRIPS - OPEN,,,,,,,,,,GF,,STR,ZN,,LOAD,,,,COVER 2,,MSST 02,MSST 02,06,08,03; 09; 11,0,11,R,6,L,15,4,0,,,INSIDE ZONE,,,0,0,0,2,0,MSST 02,MSST 02,06,03; 09; 11,08,LOAD,3x1,1,P,,1,COVER 2
597,"2508 Mississippi State O vs Texas, PFF Play 211",211,4,3,6,'+42,3,,,16,7,-8,P,L,11,PRO - OPEN,,,,,,,OFF,,SACK,GS,,,DB,,WIDE OVER,4 DOWN,,,COVER 1,,MSST 02,MSST 02,06,08,00; 03; 11,0,11,P,7,L,4,-8,0,0,,,,,0,0,0,2,0,MSST 02,MSST 02,06,00; 03; 11,08,WIDE OVER,2x1,0,R,,1,COVER 1
598,"2508 Mississippi State O vs Texas, PFF Play 212",212,4,4,14,'+50,4,,,16,8,-5,X,L,11,SLOT - OPEN,,,,,,,OFF,,,GF,,,,,BENCH,4 DOWN,,,,,,MSST 02,06,08,03; 09; 11,0,11,X,8,L,-8,,0,,,,MSST 02 DOG,,0,0,0,2,0,,MSST 02,06,03; 09; 11,08,WIDE UNDER,1x2,0,P,,0,
599,"2508 Mississippi State O vs Texas, PFF Play 220",220,5,0,10,'+25,P,,RA,17,1,0,P,C,11,DOUBLES,,,,,,,OPEN,,INCOMPLETE,GF,,,PA,,BENCH,4 DOWN,,,COVER 1,,MSST 00,MSST 02,06,08,00; 03; 11,0,11,P,1,C,-8,,0,0,,MAN,,,0,0,0,0,0,,MSST 02,06,00; 03; 11,08,WIDE UNDER,2x2,1,P,MSST 00,1,COVER 1
